id,city,city_amount,city_index,topten_index,topten_row,plot,plot_rename,industry,industry_simple,industry_amount,industry_index,industry_index_m,industry_row,industry_row_m,pollution,pollution_simple,day,transfer,transfer_money,future_use,future_use_simple,future_use_rank,zeren_class,zeren,repair_way,repair_money,repair_stage,public,complete,address,zhong,huifa,banhuifa,else,province
81,上海,14,10,0,6,闵行区03-02地块,闵行区03-02地块,未知,未知,19,13,0,7,11,总石油烃(总石油烃/苯/甲苯/萘等）,总石油烃,未知,未出让,X,公共设施,公共设施,6,未知,未知,未知,未知,未知,,,闵行区浦江郊野公园03-02地块,F,T,F,F,上海市
82,上海,14,11,1,6,杨浦区138街坊,杨浦区138街坊,未知,未知,19,14,1,7,11,砷;镍;铅;其他重金属(镉/锑/鎶/铍/钡/锰),砷;镍;铅;其他重金属,未知,已出让,37.9,商住用地,商住用地,0,政府,上海市闵行区房屋土地征收中心,未知,144,未知,,,周家嘴路以南、隆昌路以东、内江路以西、长阳路以北区域,T,F,F,F,上海市
83,上海,14,12,2,6,虹口区A01-01号地块,虹口区A01-01号地块,加油站,其他,29,15,2,4,6,未知,未知,未知,已出让,0.42,商住用地,商住用地,0,未知,未知,未知,未知,未知,,,东至彩虹湾四期，南至彩虹湾四期，西至江杨南路，北至安汾路,NA,NA,NA,NA,上海市
84,上海,14,13,3,6,虹口区HK354B-01地块,虹口区HK354B-01地块,冶炼,冶炼,6,2,2,10,15,其他重金属(镉/锑/鎶/铍/钡/锰),其他重金属,未知,已出让,10.1,商住用地,商住用地,0,未知,未知,未知,未知,未知,,,虹口区嘉兴路街道139街坊,T,F,F,F,上海市
85,济南,2,0,,,济南裕兴化工有限公司老厂区,济南裕兴化工有限公司老厂区,化工,化工,64,16,3,0,1,铬(总铬和六价铬),铬,未知,未出让,X,未知,未知,2,原场地使用者,济南裕兴化工有限责任公司,原位修复；异位修复,63000,已修复,1,0,天桥区清河北路五柳闸14号,T,F,F,F,山东省
86,济南,2,1,,,济南华阳紧固件有限公司老厂区,济南华阳紧固件有限公司老厂区,机械制造,机械制造,16,9,9,8,12,铬(总铬和六价铬);锌,铬,30,已出让,0.41,商住用地,商住用地,0,原场地使用者,济南华阳紧固件有限公司,异位修复,140,已修复,1,1,平阴县翠屏街75号,T,F,F,F,山东省
87,太原,12,0,0,9,太化集团01地块,太化集团01地块,化工,化工,64,12,6,1,2,未知,未知,未知,未出让,,商住用地,商住用地,0,原场地使用者,太原化工集团房地产有限公司,未知,未知,已修复,,,北起大井峪街，南至规划次干路，西起规划支路，东至西中环路,NA,NA,NA,NA,山西省
88,太原,12,1,1,9,太化集团002、003地块,太化集团002、003地块,化工,化工,64,13,7,1,2,未知,未知,未知,未知,X,商住用地,商住用地,0,原场地使用者,太原化工集团房地产有限公司,未知,未知,已修复,,,,NA,NA,NA,NA,山西省
89,太原,12,2,2,9,太化集团004地块,太化集团004地块,化工,化工,64,14,8,1,2,未知,未知,未知,已出让,9.36,商住用地,商住用地,0,原场地使用者,太原化工集团房地产有限公司,未知,未知,已修复,,,,NA,NA,NA,NA,山西省
90,太原,12,3,3,9,太化集团005地块,太化集团005地块,化工,化工,64,15,9,1,2,未知,未知,未知,未出让,X,商住用地,商住用地,0,原场地使用者,太原化工集团房地产有限公司,未知,未知,准备修复,,,南中环以北、西中环以西、西峪街以南、神堂沟南路以东,NA,NA,NA,NA,山西省
91,太原,12,4,4,9,太化集团006地块,太化集团006地块,化工,化工,64,16,10,1,2,未知,未知,未知,未出让,X,商住用地,商住用地,0,原场地使用者,太原化工集团房地产有限公司,未知,未知,准备修复,,,南中环以北、西中环以西、西峪街以南、神堂沟南路以东,NA,NA,NA,NA,山西省
92,太原,12,5,5,9,太原化学工业集团土地资源管理分公司太化氯碱011地块,太原化学工业集团土地资源管理分公司太化氯碱011地块,化工,化工,64,17,11,1,2,未知,未知,未知,未出让,X,商住用地,商住用地,0,原场地使用者,太原化工集团房地产有限公司,未知,1800,准备修复,,,太原市南中环以北，西中环以西,NA,NA,NA,NA,山西省
93,太原,12,6,6,9,太化集团妇幼迁建工程项目地块,太化集团妇幼迁建工程项目地块,化工,化工,64,18,12,1,2,未知,未知,未知,未出让,X,公共设施,公共设施,6,未知,未知,未知,未知,已修复,,,,NA,NA,NA,NA,山西省
94,太原,12,7,7,9,太原煤气化（集团）旧厂区地块,太原煤气化（集团）旧厂区地块,制气,制气,5,4,4,12,17,未知,未知,未知,已出让,116,商住用地,商住用地,0,未知,未知,未知,未知,已完成场地土壤环境评估,,,太原煤气化公司原用地范围内,NA,NA,NA,NA,山西省
95,太原,12,8,8,9,蓝星化工责任有限公司地块,蓝星化工责任有限公司地块,化工,化工,64,19,0,1,3,未知,未知,未知,未出让,X,未知,未知,2,未知,未知,未知,未知,准备修复,,,,NA,NA,NA,NA,山西省
96,太原,12,9,9,9,国电太原第一热电厂092-2和093地块,国电太原第一热电厂092-2和093地块,电力,其他,29,19,6,4,6,未知,未知,未知,已出让,11.9,商住用地,商住用地,0,未知,未知,异位修复,2100,准备修复,,,,NA,NA,NA,NA,山西省
97,太原,12,10,0,10,冶峪河道路快速化改造及综合治理工程（蓝星化工有限责任公司后勤区地块和化兴化工部分区域地块）,冶峪河道路快速化改造及综合治理工程（蓝星化工有限责任公司后勤区地块和化兴化工部分区域地块）,化工,化工,64,0,1,2,3,未知,未知,未知,未知,X,未知,未知,2,未知,未知,未知,未知,正在修复,,,X,NA,NA,NA,NA,山西省
98,太原,12,11,1,10,南堰污水处理厂地块,南堰污水处理厂地块,污水处理,其他,29,0,7,5,6,未知,未知,未知,未出让,X,未知,未知,2,未知,未知,未知,未知,正在修复,,,,NA,NA,NA,NA,山西省
99,昆明,2,0,,,云南红云氯碱有限公司生产区,云南红云氯碱有限公司生产区,化工,化工,64,17,4,0,1,砷;其他重金属(镉/锑/鎶/铍/钡/锰);汞,砷;其他重金属;汞,未知,未出让,X,未知,未知,2,未知,未知,未知,10000,正在修复,1,0,云南省安宁市连然街道办事处云南红云氯碱有限公司内,T,F,F,F,云南省
100,昆明,2,1,,,昆明焦化制气有限公司场地污染地块,昆明焦化制气有限公司场地污染地块,制气,制气,5,1,1,12,17,多环芳烃(苯并芘/苯并蒽/苯并萘等);总石油烃(总石油烃/苯/甲苯/萘等）,多环芳烃,240,未知,X,物流仓储,其他,5,原场地使用者,昆明焦化制气有限公司,异位修复,6476,正在修复,1,1,昆明市大板桥镇,F,T,T,F,云南省
101,石家庄,10,0,0,14,华北制药威可达有限公司,华北制药威可达有限公司,制药,制药,11,6,6,9,14,其他污染物(氨/pH/二硫化碳/氰化物等),其他污染物,不需要修复,未出让,X,未知,未知,2,原场地使用者,华北制药威可达有限公司,未知,不需要修复,已完成场地土壤环境评估,1,0,河北省石家庄市长安区翟营北大街9号,F,F,,T,河北省
102,石家庄,10,1,1,14,石家庄市华营联合葡萄糖厂原厂区,石家庄市华营联合葡萄糖厂原厂区,制药,制药,11,7,7,9,14,未知,未知,未知,未出让,X,未知,未知,2,原场地使用者,石家庄市华营联合葡萄糖厂,未知,未知,已修复,,,河北省石家庄市长安区南高营大街,NA,NA,NA,NA,河北省
103,石家庄,10,2,2,14,河北华旭药业原厂区（东胜紫晶悦城）地块,河北华旭药业原厂区（东胜紫晶悦城）地块,制药,制药,11,8,8,9,14,未知,未知,未知,已出让,5.3,商住用地,商住用地,0,房地产开发商,河北祈福乾悦房地产开发有限公司,未知,未知,已修复,,,河北省石家庄市长安区谈固北大街62号,NA,NA,NA,NA,河北省
104,石家庄,10,3,3,14,石家庄润泰纺织印染有限公司 （原厂区）,石家庄润泰纺织印染有限公司 （原厂区）,纺织,其他,29,18,5,4,6,未知,未知,未知,未出让,,未知,未知,2,原场地使用者,石家庄润泰纺织印染有限公司,未知,未知,正在修复,,,石家庄市桥西区槐安西路6号,NA,NA,NA,NA,河北省
105,石家庄,10,4,4,14,藁城市化肥总厂,藁城市化肥总厂,化工,化工,64,9,3,1,2,未知,未知,未知,未出让,X,物流仓储,其他,5,房地产开发商,河北汇联物流股份有限公司,未知,未知,未知,,,石家庄市藁城区工业路39号,NA,NA,NA,NA,河北省
106,石家庄,10,5,5,14,石家庄双联化工有限责任公司（一期）地块污染场地修复工程,石家庄双联化工有限责任公司（一期）地块污染场地修复工程,化工,化工,64,10,4,1,2,未知,未知,未知,未出让,X,商住用地,商住用地,0,房地产开发商,石家庄联新房地产开发有限公司,未知,未知,正在修复,,,石家庄双联化工有限责任公司位于石家庄鹿泉区申后村,NA,NA,NA,NA,河北省
107,石家庄,10,6,6,14,铜冶镇北铜冶村旧工业区北地块场地,铜冶镇北铜冶村旧工业区北地块场地,未知,未知,19,15,2,7,11,未知,未知,不需要修复,未知,X,未知,未知,2,政府,石家庄市鹿泉区铜冶镇人民政府,未知,不需要修复,已完成场地土壤环境评估,,,鹿泉区铜冶镇北铜冶村,NA,NA,NA,NA,河北省
108,石家庄,10,7,7,14,铜冶镇北铜冶村旧工业区南地块场地,铜冶镇北铜冶村旧工业区南地块场地,未知,未知,19,16,3,7,11,未知,未知,不需要修复,未知,X,未知,未知,2,政府,石家庄市鹿泉区铜冶镇人民政府,未知,不需要修复,已完成场地土壤环境评估,,,鹿泉区铜冶镇北铜冶村,NA,NA,NA,NA,河北省
